"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1853472","a950fa5ab6da97ed221e69b29b8cfecae90e0184f723e6ee9af00cf1325f8bc8804798d5dfd7b8a87ec7d317c37e2cfbfeb142e6bec79cb61490dbd9ccfa3ce4","2024-06-29T21:30:00.000","2","DRIVER",,"1765645",,"FORD","ESCAPE","IL","2018","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853419","d7bdf1915279117d6ade9819431ec7ffafa159886f644bbb97aba9d38aed11b98700097490417f452971311ec0d8060d9273e39a00a7476829e2cfb9b12d36de","2024-06-29T21:00:00.000","1","DRIVER",,"1765599",,"UNKNOWN","MOTORIZED",,,"UNKNOWN","VAN/MINI-VAN","UNKNOWN/NA","S","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853420","d7bdf1915279117d6ade9819431ec7ffafa159886f644bbb97aba9d38aed11b98700097490417f452971311ec0d8060d9273e39a00a7476829e2cfb9b12d36de","2024-06-29T21:00:00.000","2","PARKED",,"1765600",,"VOLKSWAGEN","PASSAT",,"2017","NONE","PASSENGER","NOT IN USE","S","PARKED",,,"0",,,,,,,,,,,"Y",,,,,,,"SIDE-LEFT-REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853451","ed5c616483f1f6748493a914185af1352a758570612f129c22ce2912e50a05b864b050b203842974c171469acfb4548fa4a95281ef84e647024ce311616c88d9","2024-06-29T20:55:00.000","1","DRIVER",,"1765625",,"TOYOTA","TUNDRA","IL","2016","UNKNOWN","PICKUP","PERSONAL","S","PASSING/OVERTAKING",,,"1",,,,,"Y","N",,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853452","ed5c616483f1f6748493a914185af1352a758570612f129c22ce2912e50a05b864b050b203842974c171469acfb4548fa4a95281ef84e647024ce311616c88d9","2024-06-29T20:55:00.000","2","DRIVER",,"1765627",,"HONDA","ODYSSEY","IL","2023","UNKNOWN","VAN/MINI-VAN","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,"Y","Y",,,,,,"REAR-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853425","bdcda3507ce519e1a0239af50fff2604cb5f9168ba4615671fcb4999fed4fda0cdfc8f16983676a463dd6a7b931342172eb8babe3f9d7af4163c06a40efce0bd","2024-06-29T20:47:00.000","1","DRIVER",,"1765601",,"CHEVROLET","OTHER (EXPLAIN IN NARRATIVE)","IL","1992","UNKNOWN","VAN/MINI-VAN","UNKNOWN/NA","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,"Y","Y","Y",,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853426","bdcda3507ce519e1a0239af50fff2604cb5f9168ba4615671fcb4999fed4fda0cdfc8f16983676a463dd6a7b931342172eb8babe3f9d7af4163c06a40efce0bd","2024-06-29T20:47:00.000","2","DRIVER",,"1765605",,"DODGE","JOURNEY","IL","2012","NONE","VAN/MINI-VAN","PERSONAL","W","TURNING LEFT",,,"1",,,,,,,,,,,"Y","Y","Y",,,,,"SIDE-LEFT-REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853447","ef7d2cfe7293e955a6f650cb85aca0be57671b7879ff5eb1fd2f995df7f56d049247829273a08e8aa74085569af1973c68cdf53eedbd0a9a48be6161bbb60863","2024-06-29T20:30:00.000","1","DRIVER",,"1765624",,"JEEP","CHEROKEE","IL","2014","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853448","ef7d2cfe7293e955a6f650cb85aca0be57671b7879ff5eb1fd2f995df7f56d049247829273a08e8aa74085569af1973c68cdf53eedbd0a9a48be6161bbb60863","2024-06-29T20:30:00.000","2","DRIVER",,"1765648",,"INFINITI","Q70","IL","2015","NONE","PASSENGER","NOT IN USE","W","STRAIGHT AHEAD",,,"1",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853401","028fd0602deff5bc0ad8bb276c88bd67cc3af580091c7cd16ea7c7ef96b73552e42633256541356c370d5badcdee44a82b668ec48880116e006e16a360a94ca7","2024-06-29T20:29:00.000","1","DRIVER",,"1765579",,"CHEVROLET","TRAIL BLAZER",,,"UNKNOWN","PASSENGER","PERSONAL","S","BACKING",,,"1",,,,,,,,,,,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
